"","itens"
"352","COLHER DE ACO INOX PARA REFEICAO"
"353","COLHER DE ACO INOX PARA SERVIR ARROZ"
"354","COLHER DE ACO INOX PARA SOPA"
"355","COLHER DE PLASTICO/POLIPROPILENO PARA REFEICAO"
"356","CONCHA (PARA COZINHA) EM INOX"
"357","CONJUNTO DE UTENSILIOS PARA COZINHA KIT PARA CONFEITAR PROFISSIONAL"
"358","CONJUNTO DE UTENSILIOS PARA COZINHA UTENSILIOS PARA COZINHA EM CONJUNTO"
"359","COPO PLASTICO DESCARTAVEL CAPACIDADE 150 ML,COM 100 UNIDADES"
"360","COPO DE PLASTICO/POLIPROPILENO GRADUADO, CAPACIADE 240ML,TOTALMENTEARREDONDADO."
"361","COPO DE VIDRO LISO TRANSPARENTE,PARA AGUA"
"362","COPO DE VIDRO TRANSPARENTE"
"363","COPO PLASTICO DESCARTAVEL COR BRANCA, CAPACIDADE PARA NO MINIMO 200ML"
"364","COPO PLASTICO DESCARTAVEL COR BRANCA, CAPACIDADE PARA NO MINIMO 50ML"
"365","COPO PLASTICO DESCARTAVEL EM POLIPROPILENO CAPACIDADE P/200ML COM 100 UNIDADES"
"366","CORTADOR DE LEGUMES GRANDE, COM SUPORTE DE CHÃO"
"367","CORTADOR DE LEGUMES USO INDUSTRIAL EM ALUMINIO FUNDIDO"
"368","ESCORREDOR EM ALUMINIO PARA MACARRAO"
"369","ESCOVA DE ACO PARA FERRUGEM"
"370","ESCUMADEIRA (RESTRITO) DE ACO INOX C/ APROX. 9CM DE DIAMETRO, 30CM DE CABO E ALCA"
"371","ESPATULA EM ACO INOX EM 12 CM"
"372","ESPATULA ESPATULA TIPO COLHER EM PORCELANA VITRIFICADA, 250 MM"
"373","ESPATULA TIPO PINTOR ND4"
"374","EXTRATOR DE SUCO TIPO INDUSTRIAL, ELETRICO, COPO EM ACO INOX, COPO E PENEIRA"
"375","FACA DE ACO INOX PARA CARNE"
"376","FACA DE ACO INOX PARA REFEICAO"
"377","FACA PARA COZINHA FACA PARA LEGUMES OU SALADA"
"378","FACA PARA COZINHA PARA CARNE"
"379","FACA PARA COZINHA PARA PAO"
"380","FILTRO DE PAPEL PARA CAFE TAMANHO 103, CAIXA COM 30 UNIDADES"
"381","FOGAO A GAS COM MODULO CHAPA INOX"
"382","FOGAO A GAS COOK TOP 40 BOCAS, MESA EM VIDRO TEMPERADO, ACENDIM. AUT."
"383","FOGAO A GAS INDUSTRIAL DE CENTRO 6 BOCAS COM GRELHA"
"384","FOGAO A GAS TIPO INDUSTRIAL"
"385","FORMA (PARA COZINHA) EM ALUMINIO"
"386","FORMA (PARA COZINHA) PARA PIZZA"
"387","FORMA (PARA COZINHA) QUADRADA"
"388","FORNO A GAS COM DUAS CAMARAS"
"389","FORNO A GAS INDUSTRIAL COM 3 CAMARAS DE COZIMENTO"
"390","FORNO A GAS INDUSTRIAL DE LASTRO COM 1 CAMARA DE COZIMENTO"
"391","FORNO MICROONDAS CAPACIDADE 20 LITROS, 220 VOLTS"
"392","FORNO MICROONDAS FORNO MICROONDAS"
"393","FOSFORO DE USO DOMESTICO, CAIXA COM APROX.40 PALITOS"
"394","FRIGIDEIRA ANTIADERENTE"
"395","FRIGIDEIRA EM ALUMINIO"
"396","GARFO DE ACO INOX TRINCHANTE"
"397","GARRAFA TERMICA 5 LITROS"
"398","GARRAFA TERMICA CAPACIDADE 1,8 LITROS"
"399","GARRAFA TERMICA CAPACIDADE 12 LITROS COM ALÇA"
"400","GARRAFA TERMICA CAPACIDADE DE 02 LITROS"
"401","GARRAFA TERMICA COM ALCA, CAPACIDADE 01 LITRO"
"402","GUARDANAPO GUARDANAPO DE PAPEL COR BRANCA, EMBALAGEM COM 50 UNIDADES"
"403","JARRA DE VIDRO PARA AGUA"
"404","JARRA ELETRICA USO DOMESTICO 220 VOLTS"
"405","LIQUIDIFICADOR TIPO INDUSTRIAL CAPACIDADE APROX.8 LITROS, 220 VOLTS"
"406","LIQUIDIFICADOR TIPO INDUSTRIAL CAPACIDADE MINIMA DO COPO DE 15 LITROS"
"407","LIQUIDIFICADOR TIPO INDUSTRIAL CAPACIDADE P/ 04 LITROS"
"408","LUVA PARA COZINHA LUVA TERMICA"
"409","LUVA PARA COZINHA TRANSPARENTE P/MANIPULACAO DE ALIMENTOS EMBALAGEM C/100"
"410",""
"411","UND"
"412","MAMADEIRA EM COPOLIESTER, CAPACIDADE 240ML"
"413","MAMADEIRA EM COPOLIESTER, CAPACIDADE ENTRE 50 E 80ML"
"414","MAQUINA TIPO MASSEIRA DE PAO"
"415","MATERIAIS E UTENSILIOS PARA CONFEITARIA CONJUNTO DE PLACAS DE CORTE"
"416","MATERIAIS E UTENSILIOS PARA CONFEITARIA TABUA DE CORTE"
"417","MATERIAIS, ARTIGOS E UTENSILIOS PARA COZINHA CHAIRA - AFIADOR DE FACA EM ACO DURO"
"418","MOEDOR DE CARNE ELETRICO"
"419","PA DE POLIPROPILENO LISA, COM APROXIMADAMENTE 120 CM DE COMPRIMENTO"
"420","PA DE POLIPROPILENO PARA CALDEIRAO, COM FUROS"
"421","PA DE POLIPROPILENO PARA CALDEIRAO, LISA"
"422","PANELA CONJUNTO"
"423","PANELA DE ALUMINIO INDUSTRIAL, TIPO CACAROLA 60 LITROS"
"424","PANELA INDUSTRIAL CALDEIRAO 20L"
"425","PANELA INDUSTRIAL CAPACIDADE 10L"
"426","PANELA INDUSTRIAL CAPACIDADE 30L"
"427","PANELA INDUSTRIAL CAPACIDADE 40L"
"428","PANELA INDUSTRIAL CAPACIDADE 50L"
"429","PANELA INDUSTRIAL TIPO CALDEIRAO"
"430","PANELAO DE PRESSAO ELETRICA"
"431","PANELAO DE PRESSAO INDUSTRIAL 30 LITROS"
"432","PANELAO DE PRESSAO PROFISSIONAL EM ALUMINIO, CAPACIDADE 7.5 LITROS"
"433","PECAS,COMPONENTES E ACESSORIOS P/EQUIP.COZINHA E REFEITORIOS CONJUNTO NAVALHA"
"434",""
"435","FACA MACHO E FEMEA PARA CORTADOR DE LEGUMES"
"436","PEGADOR DE ALIMENTOS DE ACO INOX"
"437","PENEIRA EM ACO ACO INOXIDAVEL, MALHA FINA, DIAMETRO 12 A 14 CM"
"438","PENEIRA EM ACO INOX"
"439","PORTA COPOS DE AGUA, TIPO DISPENSER"
"440","POTE PLASTICO/RECIPIENTE PLASTICO P/FREEZER E MICROONDAS MULTI USO"
"441","PRATO EM VIDRO FUNDO"
"442","PRATO EM VIDRO RASO"
"443","RALADOR EM ACO INOXIDAVEL"
"444","ROLO PARA MASSA DE POLIPROPILENO"
"445","SOCADOR DE FEIJAO EM POLIPROPILENO ATOXICO C/CABO DE 60CM APROX"
"446","SUPORTE PARA COPOS DISPENSER PARA COPO PLASTICO DE 180/200ML"
"447","XICARA COM PIRES DE PORCELANA PARA CAFEZINHO * BRANCA COM LOGOMARCA GOVERNO"
"448",""
"449","DO ESTADO DE SANTA CATARINA"
"450","DISPOSITIVOS DE FIXACAO, TELAS E ARAMES"
"451","ABRACADEIRA DE NYLON"
"452","ABRACADEIRA PLASTICA"
"453","ARAME DE ACO GALVANIZADO"
"454","ARAME DE ACO RECOZIDO COM. P/CONSTRUCAO N.18"
"455","ARRUELA METALICA LISA"
"456","ARRUELA METALICA PARA PARAFUSO"
"457","ARRUELA METALICA TAMANHO 4 MM"
"458","BRACADEIRA ABRACADEIRA EM METAL 1"""
"459","BRACADEIRA ABRACADEIRA COM CUNHA 3/4"
"460","BUCHA PARA FIXACAO BUCHA DE NYLON S 6"
"461","BUCHA PARA FIXACAO BUCHA DE NYLON S-8"
"462","BUCHA PARA FIXACAO DE NYLON, NUEMRO 12"
"463","BUCHA PARA FIXACAO NUMERO 10"
"464","BUCHA PARA FIXACAO NUMERO 5"
"465","BUCHA PARA FIXACAO NUMERO 6"
"466","BUCHA PARA FIXACAO NUMERO 7"
"467","BUCHA PARA FIXACAO NUMERO 8"
"468","BUCHA PARA FIXACAO PLASTICA,"
"469","CORREDICA DE GAVETA MEDINDO 50CM"
"470","CORREDICA PARA GAVETA 40CM C/PARAFUSO"
"471","CORREDICA PARA GAVETA 45CM"
"472","GRAMPO PARA GRAMPEADOR PNEUMATICO MEDINDO 8MM"
"473","GRAMPO PARA GRAMPEADOR PNEUMATICO PARA PISTOLA DE ESTOFADOR 106/6,CAIXA COM"
"474",""
"475","5000 UNIDADES"
"476","PARAFUSO METALICO  TIPO PHILIPS MEDINDO 3 X 25"
"477","PARAFUSO METALICO  TIPO PHILIPS MEDINDO 3.5 X 25"
"478","PARAFUSO METALICO  TIPO PHILIPS MEDINDO 3.5 X 35"
"479","PARAFUSO METALICO CABECA CHATA"
"480","PARAFUSO METALICO CHIPBORD, CABEÇA CHATA, PHILIPS 3,5X14MM"
"481","PARAFUSO METALICO CHIPBORD, CABEÇA CHATA, PHILIPS 3,5X40MM"
"482","PARAFUSO METALICO CHIPBORD, CABEÇA CHATA, PHILIPS 4,5X60MM"
"483","PARAFUSO METALICO COM PORCA E ARRUELA 10MM C/10CM"
"484","PARAFUSO METALICO EM ACO"
"485","PARAFUSO METALICO EM ZINCO"
"486","PARAFUSO METALICO MED. 3,5 X 20, CABECA CHATA"
"487","PARAFUSO METALICO MED.4,0X35,CABECA CHATA"
"488","PARAFUSO METALICO MEDINDO 2,5X12"
"489","PARAFUSO METALICO MEDINDO 3,5 X 14 CABECA CHATA"
"490","PARAFUSO METALICO MEDINDO 4 X 50"
"491","PARAFUSO METALICO MEDINDO 4X40"
"492","PARAFUSO METALICO PARA BUCHA NR. 06"
"493","PARAFUSO METALICO PARA BUCHA NR. 08"
"494","PARAFUSO METALICO PARA BUCHA NR. 10"
"495","PARAFUSO METALICO PARA FIXAR VASO SANITARIO COM ARRUELA E BUCHA"
"496","PARAFUSO METALICO PARAFUSO 4 MM"
"497","PARAFUSO METALICO PARAFUSO PHILIPS 3.5 X 40"
"498","PARAFUSO METALICO PARAFUSO PHILIPS 6MM"
"499","PARAFUSO METALICO PARAFUSO PHILIPS 8MM"
"500","PARAFUSO METALICO PHILIPS"
"501","PARAFUSO METALICO PHILIPS CABECA CHATA 3.5X14"
"502","PARAFUSO METALICO PHILIPS CABECA CHATA 3.5X16"
"503","PARAFUSO METALICO PHILIPS CABECA CHATA 3.5X20"
"504","PARAFUSO METALICO PHILIPS CABECA CHATA 3.5X25"
"505","PARAFUSO METALICO PHILIPS CABECA CHATA 3.5X30"
"506","PARAFUSO METALICO PHILIPS CABECA CHATA 3.5X35"
"507","PARAFUSO METALICO PHILIPS CABECA CHATA 3.5X40"
"508","PARAFUSO METALICO PHILIPS CABECA CHATA 4.0MM X50M"
"509","PARAFUSO METALICO PHILIPS CABECA CHATA 4.0X16"
"510","PARAFUSO METALICO PHILIPS CABECA CHATA 4.0X16"
"511","PARAFUSO METALICO PHILIPS CABECA CHATA 4.0X16"
"512","PARAFUSO METALICO PHILIPS CABECA CHATA 4.8X65"
"513","PARAFUSO METALICO PHILIPS CABECA CHATA 6.3X50"
"514","PARAFUSO METALICO PITAO"
"515","PARAFUSO METALICO SEXTAVADO"
"516","PARAFUSO METALICO SEXTAVADO 1/4 X2 COM PORCA E ARRUELA"
"517","PARAFUSO METALICO SEXTAVADO 1/4X2'' MM"
"518","PARAFUSO METALICO SEXTAVADO 3/8 X 2 COM PORCA E ARRUELA"
"519","PARAFUSO METALICO SEXTAVADO 5/16X 1/34 COM PORCA E ARRUELA"
"520","PARAFUSO METALICO SEXTAVADO 5/16X2"
"521","PARAFUSO METALICO TAMANHOS DIVERSOS"
"522","PARAFUSO METALICO TIPO PHILIPS, DEDINDO 6.0 X 60"
"523","PARAFUSO METALICO TIPO PHILIPS, MEDINDO 4.5 X 60"
"524","PREGO DE ACO MEDINDO 10 X X10, COM CABECA"
"525","PREGO DE ACO MEDINDO 10 X X10, SEM CABECA"
"526","PREGO DE ACO MEDINDO 12X12 COM CABEÇA"
"527","PREGO DE ACO MEDINDO 14X18 C/C"
"528","PREGO DE ACO MEDINDO 15 X 15, COM CABECA"
"529","PREGO DE ACO MEDINDO 15 X 21, COM CABECA"
"530","PREGO DE ACO MEDINDO 16 X 24, COM CABECA"
"531","PREGO DE ACO MEDINDO 16X24 COM CABECA"
"532","PREGO DE ACO MEDINDO 17X27 COM CABECA"
"533","PREGO DE ACO MEDINDO 18X30 COM CABECA"
"534","PREGO DE ACO MEDINDO 19 X 36, COM CABECA"
"535","PREGO DE ACO PREGO 17X27"
"536","REBITE DE ALUMINIO"
"537","REBITE DE FERRO NIQUELADO N. 4"
"538","REBITE DE REPUXO"
"539","REBITE DE REPUXO 3.2X10.0MM"
"540","REBITE DE REPUXO 4.8X12.00MM"
"541","REBITE DE REPUXO"
"542","REBITE REPUXO ALUMINIO 4.0X12"
"543",""
"544","MOTO AQUATICA / JET-SKI MODELO JET-SKI, MOTOR 4 TEMPOS"
"545",""
"546","ASSENTO SANITARIO (TAMPA) ALMOFADADO OVAL BRANCO"
"547","ASSENTO SANITARIO (TAMPA) DE POLIPROPILENO"
"548","ASSENTO SANITARIO (TAMPA) EM PLASTICO, CORES DIVERSAS"
"549","ASSENTO SANITARIO (TAMPA) PVC , COR BRANCO, OVAL"
"550","CAIXA DE DESCARGA DE SOBREPOR"
"551","COMPONENTE E ACESSORIOS DE EQUIPAMENTOS BOLSA"
"552","DISPENSER PARA ALCOOL GEL"
"553","DISPENSER PARA SABONETE LIQUIDO"
"554","DUCHA CHUVEIRO ELETRICO, 3 TEMPERATURAS"
"555","ENGATE DE ALUMINIO FLEXIVEL PARA TORNEIRA"
"556","ENGATE PLASTICO COM BRACO"
"557","ENGATE PLASTICO FLEXIVEL 50 CM X 1/2"
"558","FLEXIVEL PARA BANHEIRO CAIXA DESCARGA"
"559","KIT PARA REPARO DE REGISTRO HIDRAULICO"
"560","MATERIAIS,COMPONENTES E ACESSORIOS HIDRAULICO-SANITARIOS PONTEIRA"
"561","MATERIAIS,COMPONENTES E ACESSORIOS HIDRAULICO-SANITARIOS RALO"
"562","MATERIAIS,COMPONENTES E ACESSORIOS HIDRAULICO-SANITARIOS TANQUE"
"563","MATERIAIS,COMPONENTES E ACESSORIOS HIDRAULICO-SANITARIOS TUBO DE DESCIDA"
"564","MOLDURA PARA VALVULA DE DESCARGA"
"565","PIA OVAL"
"566","PORTA PAPEL TOALHA INTER FOLHAS"
"567","PORTA PAPEL TOALHA PARA BOBINAS"
"568","PORTA PAPEL TOALHA TIPO DISPENSADOR"
"569","RALO PARA ESGOTO EM ACO INOX, QUADRADO, MED. 15 X 15"
"570","RALO PARA ESGOTO GRELHA EM ALUMINIO ABRE E FECHA, QUADRADO, 15CM"
"571","RALO PARA ESGOTO GRELHA REDONDA COM CAXILHO, 10CM"
"572","REFIL DE FILTRO PARA FILTRO DE AGUA"
"573","REGISTRO DE PLASTICO COM COLUNA, COR BRANCA"
"574","REGISTRO DE PLASTICO DE GAVETA 3/4 COMPLETO"
"575","REGISTRO DE PLASTICO PVC, 25 MM (3/4"")"
"576","REGISTRO DE PLASTICO REGISTRO DE METAL, TAMANHOS DIVERSOS"
"577","REPARO PARA TORNEIRA SIMPLES"
"578","REPARO VALVULA DOCOL ORIGINAL 1-1/2""."
"579","REPARO VALVULA HIDRA PARA BACIO"
"580","REPARO VALVULA PARA HYDRA ORIGINAL"
"581","REPARO VALVULA PARA INSTALACOES"
"582","SABONETEIRA FIXA DE PAREDE"
"583","SIFAO PARA LAVATORIO"
"584","SIFAO PARA PIA"
"585","SIFAO PLASTICO FLEXIVEL"
"586","SIFAO SANFONADO 1.1/2 X 40 MM"
"587","SUPORTE PARA PAPEL HIGIENICO CROMADO"
"588","TAMPA PARA VALVULA DE DESCARGA"
"589","TORNEIRA DE METAL CROMADA"
"590","TORNEIRA DE METAL CROMADA PARA LAVATORIO DE 1/2 POLEGADA"
"591","TORNEIRA DE METAL CROMADA, DE PAREDE, PARA LAVATORIO"
"592","TORNEIRA DE METAL PARA PIA DE COZINHA 1/2"", TIPO BICA MOVEL"
"593","TORNEIRA DE METAL TAMANHO 3/4"
"594","TORNEIRA DE METAL TORNEIRA BICA ALTA 1/4 DE VOLTA METALICA DE MESA"
"595","TORNEIRA DE PLASTICO PARA JARDIM COM BICO 3/4"""
"596","TORNEIRA DE PLASTICO PARA JARDIM,COM BICO 1 1/2"""
"597","TORNEIRA DE PLASTICO PARA JARDIM,MEDINDO 1/2"""
"598","TORNEIRA DE PLASTICO PARA LAVATORIO"
"599","TORNEIRA ELETRICA - CONSUMO MULTITEMPERATURA"
"600","TORNEIRA PARA BEBEDOURO PLASTICA"
"601","TORNEIRA PARA BEBEDOURO TIPO ESGUICHO"
"602","VALVULA  PARA CAIXA DE DESCARGA ACABAMENTO DE VALVULA DE DESCARGA"
"603","VALVULA  PARA CAIXA DE DESCARGA KIT ACIONAMENTO MED.1 1/2"""
"604","VALVULA PARA PIA (LAVATORIO) DE METAL"
"605","VALVULA PARA PIA (LAVATORIO) DE PLASTICO"
"606","VALVULA PARA PIA (LAVATORIO) SIMPLES"
"607","VASO SANITARIO DE LOUCA ACOPLADO COM DESCARGA."
"608","VASO SANITARIO DE LOUCA TIPO BACIA CONVENCIONAL"
"609",""
"610","CADARCO SARJADO(CHATO)100% ALGODAO,COR BRANCA,ROLO C/ 50M,LARG.18MM"
"611","LINHA DE COSTURA LINHA TIPO URSO,100% ALGODAO N.000 COM 183M OU 200 JARDAS"
"612","MATERIAIS E AVIAMENTOS P/COSTURA,ESTOFAMENTO E CALCADOS CADARCO SARJADO"
"613","METRO EM MADEIRA,MEDINDO 1 METRO"
"614","METRO EM MADEIRA,MEDINDO 2 METROS"
"615",""
"616","BROCA DENTARIA BROCA CARBIDE NÐ 702"
"617","IMPLANTE DE MILLES IMPLANTE DE MILLES NUMERO 18"
"618","IMPLANTE DE MILLES IMPLANTE DE MILLES NUMERO 16"
"619","IMPLANTE DE MILLES IMPLANTE DE MILLES NUMERO 12"
"620","IMPLANTE DE MILLES IMPLANTE DE MILLES NUMERO 13"
"621","IMPLANTE DE MILLES IMPLANTE DE MILLES NUMERO 14"
"622","IMPLANTE DE MILLES IMPLANTE DE MILLES NUMERO 15"
"623","IMPLANTE DE MILLES IMPLANTE DE MILLES NUMERO 17"
"624","LENTE PARA MOLDAGEM DE CAVIDADE LENTE P/MOLDAGEM DE CAVIDADE TAMANHO G"
"625","LENTE PARA MOLDAGEM DE CAVIDADE LENTE P/MOLDAGEM DE CAVIDADE TAMANHO M"
"626","LENTE PARA MOLDAGEM DE CAVIDADE LENTE P/MOLDAGEM DE CAVIDADE TAMANHO P"
"627","SUGADOR ODONTOLOGICO SUGADOR ODONTOLOGICO,SIMPLES PARA SALIVA, DESCARTAVEL"
"628","EQUIPAMENTOS, PROGRAMAS E SUPRIMENTOS DE INFORMATICA"
"629","MATERIAIS E COMPONENTES P/EQUIPAMENTOS DE INFORMÁTICA SSD PLUS 240GB"
"630","MONITOR DE VIDEO MEDINDO 19 POLEGADAS"
"631","MONITOR DE VIDEO LED DE 23 POLEGADAS"
"632","MONITOR DE VIDEO DE LED"
"633","MONITOR DE VIDEO 27 POLEGADAS"
"634","MONITOR DE VIDEO 24 POLEGADAS"
"635","MONITOR DE VIDEO PROFISSIONAL 49 POLEGADAS"
"636","MONITOR DE VIDEO LCD 55 POLEGADAS"
"637","SWITCH HUB"
"638","SWITCH PRINCIPAL"
"639","IMPRESSORA LASER"
"640","MICROCOMPUTADOR"
"641","MICROCOMPUTADOR ESTACAO DE TRABALHO"
"642","MICROCOMPUTADOR COMPLETO"
"643","MICROCOMPUTADOR ESTACAO DE TRABALHO INTERMEDIARIA"
"644","MICROCOMPUTADOR ESTACAO DE TRABALHO AVANCADA"
"645","MICROCOMPUTADOR ESTACAO DE TRABALHO BASICA"
"646","MICROCOMPUTADOR NOTEBOOK"
"647","MICROCOMPUTADOR TABLET"
"648","MATERIAIS E COMPONENTES P/ EQUIPAMENTOS DE INFORMATICA PLACA DE VIDEO"
"649","PROCESSADOR PARA MICROCOMPUTADOR"
"650","NOTEBOOK COMPLETO"
"651","NOTEBOOK COM MONITOR 14"""
"652","NOTEBOOK BASICO"
"653","NOTEBOOK AVANCADO"
"654","SERVIDOR DE REDE COMPLETO"
"655","EQUIPAMENTO DE INFORMATICA PROJETOR MULTIMIDIA"
"656","EQUIPAMENTO DE INFORMATICA HDD 3,5"" 12TB PARA SISTEMA DE BACKUP"
"657","SISTEMA DE ARMAZENAMENTO DE DISCO/DADOS STORAGE"
"658","DISCO RIGIDO (WINCHESTER) PARA SERVIDOR"
"659","EQUIPAMENTOS E PECAS PARA INFORMATICA CABO HEPR FLEX"
"660","HARD DISK (HD) CAP 2.0TB, 7200RPM, SATA II, 3.0GBITS, MB DE CACHE, WD20EARS"
"661","HARD DISK (HD) HD EXTERNO, 2TB"
"662","HARD DISK (HD) EXTERNO, CAPACIDADE 1TB"
"663","HARD DISK (HD) INTERNO"
"664","CHAVEADOR MODELO KVM DE 8 PORTAS USB"
"665","CHAVEADOR KVM 16 PORTAS"
"666","APARELHO WIRELESS DE ENLACE TIPO PONTO-A-PONTO"
"667","NOBREAK"
"668","NOBREAK 1200 VA"
"669","IPAD (RESTRITO) WI-FI 3G 64GB"
"670","SERVIDOR LOCAL - RACK"
"671","SERVIDOR SERVIDOR BACKUP"
"672","SERVIDOR SERVIDOR CFTV"
"673","HARDWARE PARA SERVIDORES DE BANCO DE DADOS"
"674","GAVETA DE EXPANSAO STORAGE"
"675","TABLET 10 POLEGADAS"
"676","TABLET TABLET 32 GB"
"677","SOFTWARE (LICENCA DE USO) SOFTWARE DE CONTROLE DE ACESSO"
"678","SOFTWARE (LICENCA DE USO) SOFTWARE DE CONTROLE DE PONTO ELETRONICO"
"679","SOFTWARE LICENCA DE USO,DIVERSOS"
"680","SOLUCOES PARA COLETA, PROCESSAMENTO E ANALISE DE DADOS PARA PLATAFORMAS"
"681",""
"682","ELETRONICAS  PORTATEIS"
"683","TECLADO (RESTRITO - CONSUMO) PARA MICROCOMPUTADOR"
"684","PLACA MAE PARA MICROCOMPUTADOR"
"685","MODULO MEMORIA CAPACIDADE DE 1 GB DDR 400"
"686","COOLER(VENTILADOR PARA PROCESSADOR) PARA MICROCOMPUTADOR"
"687","APOIO DE PUNHO (DIGITADOR) APOIO ERGONOMICO EM GEL PARA TECLADO PRETO"
"688","TECLADO(REPOSICAO) PARA COMPUTADOR"
"689","MOUSE PARA MICROCOMPUTADOR"
"690","MOUSE OPTICO USB"
"691","MOUSE OPTICO DE DOIS BOTOES C/BOTAO ROLAGEM USB"
"692","CARTAO DE MEMORIA 256GB"
"693","LEITOR DE MEMORIA"
"694","GABINETE PARA MICROCOMPUTADOR PARA CPU"
"695","MODEM ACESS POINT MODEM SEM FIO"
"696","LEITOR BIOMETRICO IMPRESSAO DIGITAL"
"697","LEITOR BIOMETRICO USB"
"698","HARDWARE SSD SATA"
"699","CABO ADAPTADOR USB"
"700","WEBCAM(CAMERA DE VIDEO) PARA COMPUTADOR"
"701","PEN DRIVE CAPACIDADE DE 8 GB"
"702","PEN DRIVE CAPACIDADE DE 16 GB"
"703","FITA PARA IMPRESSORA RIBBON CERA, MED. 100MM X 91M"
"704","MOUSEPAD MOUSEPAD"
"705","COMPACT DISC(CD) VIRGEM REFERENCIA 750 MBL"
"706","CABO DE REDE DE INFORMATICA"
"707","CABO DE REDE UTP CAT.5"
"708","CABO DE REDE UTP CAT 6 COR VERMELHA COM 300M OU MAIS"
"709","FONTE DE ALIMENTACAO PARA NOTEBOOK"
"710","FONTE DE ALIMENTACAO DIGITAL"
"711","FONTE DE ALIMENTACAO FONTE DE ALIMENTACAO 48VDC 4A"
"712","FONTE DE ALIMENTACAO FONTE DE ALIMENTACAO  48VDC 2A"
"713","PATCH PANEL CAT.5E 24 POSICOES"
"714","PATCH PANEL POE 12 PORTAS"
"715","PATCH PANEL POE 5 PORTAS"
"716",""
"717","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO ESPONJA SILICONE/CIR.DE RETINA-506"
"718","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO OLEO SILICONE 1300CST,COMP.C/(D)"
"719","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO P/GAS PERFLUORPROPANO 3.6"
"720","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO P/MANGA DE SILICONE (SLEEVE) 270"
"721","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO PERFLUOROCTANO OKTALINE"
"722","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO PNEU DE SIL./ CIRUR.DE RETINA- 277"
"723","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO RETRATORES DE IRIS (CX C/4 UNID)"
"724","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO TIRA DE SILICONE/CIR.DE RETINA-042"
"725","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO CANULA BACKFLUSH 23G"
"726","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO CANULA BACKFLUSH 25G"
"727","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO CANULA BACKFLUSH 27G"
"728","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO CANULA PARA ASPIRACAO DE FLUIDOSUB-RETINIANO"
"729","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO CÅNULA PARA ASPIRACAO DE FLUIDOSUB-RETINIANO 25G"
"730","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO CANULA PARA ASPIRACAO SUBRETINIANO 27G"
"731","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO FAIXA DE SILICONE PARA CIRURGIA DERETINA - 240"
"732","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO OLEO SILICONE 5000 A 5700 CST,SERINGA COM INJETOR DE OLEO"
"733","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO MICROFORCEPS RETO DESCARTAVELPARA USO EM VITRECTOMIA 23G"
"734","ACESSORIOS DE VITRECTOMIA P/USO EM VITREOFAGO MICROTESOURA DESCARTAVEL VERT. P/"
"735",""
"736","USO EM VITRECTOMIA"
"737","ACESSORIOS PARA EQUIPAMENTOS MEDICOS BASE P.TORQUE PECA DE"
"738",""
"739","MAO36KHZ.COMP.ASP.ULTRASSONICO,INTEGRA"
"740","ACESSORIOS PARA EQUIPAMENTOS MEDICOS BATERIA RECARREGAVEL, 9,6V, COMP. MON."
"741",""
"742","MULTIP. NIHON KOHDEN"
"743","ACESSORIOS PARA EQUIPAMENTOS MEDICOS CABO ADAP.PES"
"744",""
"745","DESCART.CARDIOVERSOR.COMP.NIHONKOHDEN.TEC-5600"
"746","ACESSORIOS PARA EQUIPAMENTOS MEDICOS CHAVE DE TORQUE DE 23KHZ."
"747",""
"748","COMP.ASP.ULTRASSONICO,INTEGRA"
"749","ACESSORIOS PARA EQUIPAMENTOS MEDICOS CHAVE DE TORQUE DE 36KHZ."
"750",""
"751","COMP.ASP.ULTRASSONICO,INTEGRA"
"752","ACESSORIOS PARA EQUIPAMENTOS MEDICOS DISPOSITIVO CATA-COAGULO, TIPO ADAPTAVEL A"
"753",""
"754","SERINGA-GASOMETRO"
"755","ACESSORIOS PARA EQUIPAMENTOS MEDICOS MANGUEIRA PNEUMATICA DUPLA PRESSAO COM"
"756",""
"757","DIFUSOR"
"758","ACESSORIOS PARA EQUIPAMENTOS MEDICOS MEMBRANA INTERFACE DE COMANDOS,"
"759",""
"760","VENTILADOR MAQUET SERVO S"
"761","ACESSORIOS PARA EQUIPAMENTOS MEDICOS PECA MAO EXCEL"
"762",""
