"","itens"
"152","FRONHA DE TECIDO PARA TRAVESSEIRO"
"153","LENCOL DE TECIDO SEM ELASTICO"
"154","LIXEIRA CAPACIDADE 100 LITROS, COM TAMPA E PEDAL"
"155","LIXEIRA DE PLASTICO COM TAMPA BASCULANTE, CAPACIDADE DE 50 LITROS"
"156","LIXEIRA DE PLASTICO COM TAMPA E CAPACIDADE PARA APROXIMADAMENTE 100 LITROS"
"157","LIXEIRA DE PLASTICO COM TAMPA E PEDAL CAPACIDADE DE 30 LITROS"
"158","LIXEIRA DE PLASTICO COM TAMPA E PEDAL, CAPACIDADE DE 240 LITROS"
"159","LIXEIRA DE PLASTICO COM TAMPA E PEDAL, CAPACIDADE PARA 15 LITROS"
"160","LIXEIRA DE PLASTICO COM TAMPA, CAPACIDADE 120 LITROS"
"161","LIXEIRA DE PLASTICO KIT COLETA SELETIVA"
"162","LIXEIRA DE PLASTICO LIXEIRA SEM TAMPA"
"163","PERSIANA VERTICAL"
"164","TOALHA DE BANHO COR LARANJA"
"165","TRAVESSEIRO DE ESPUMA INFANTIL, MED 0,30X0,40 M"
"166","TRAVESSEIRO DE ESPUMA MED.45 X 65CM,MAXIMO DE 10CM DE ALTURA,COR BRANCA"
"167","TRAVESSEIRO DE ESPUMA REVESTIDO COM TECIDO, MED 0,40X0,60X0,12 M"
"168","TRAVESSEIRO DE ESPUMA REVESTIDO EM TECIDO, MEDINDO 50 X 70 CM"
"169","VARAO PARA CORTINA EM FERRO"
"170","VELA EM PACOTE COM 8 VELAS"
"171","BALANÇAS"
"172","BALANCA BALANCA BOVINA"
"173","BALANCA DIGITAL"
"174","BALANCA MECANICA"
"175","CABOS, CORRENTES E CORDOALHAS"
"176","BARBANTE DE ALGODAO ROLO COM APROXIMADAMENTE 200M"
"177","BARBANTE DE ALGODAO ROLO COM APROXIMADAMENTE 400 GRAMAS"
"178","CORDA DE POLIESTER, COR BRANCA 6MM"
"179","FIO DE NYLON PARA ROCADEIRA"
"180","FIO ENCERADO TIPO CORDONE"
"181","COMBUSTÍVEIS E LUBRIFICANTES NÃO VEÍCULARES"
"182","CARGA DE GAS REFIL"
"183","DESENGRAXANTE CONCENTRADO"
"184","GAS GLP CARGA PARA BOTIJAO DE 13KG"
"185","GAS GLP CARGA PARA BOTIJAO DE 45KG"
"186","GAS GLP PARA BOTIJAO DE 20 KG"
"187","GRAXA DE ROLAMENTO, EMBALAGEM DE 1KG"
"188","LUBRIFICANTE DESINGRIPANTE SPRAY, FRASCO COM 300ML"
"189","NITROGENIO LIQUIDO"
"190","OLEO DESINGRIPANTE PARA FERRAGENS,TIPO SPRAY,EM FRASCO DE 300ML."
"191","OLEO/LUBRIFICANTE EM 1 LITRO"
"192","OLEO/LUBRIFICANTE MULTIUSO"
"193","OLEO/LUBRIFICANTE SPRAY, FRASCO COM 300ML, ESPECIFICO P/EQUIP.HILAN"
"194","CONDECORAÇÕES, BANDEIRAS E GALHARDETES"
"195","BANDEIRA DA POLICIA CIVIL"
"196","BANDEIRA DE SANTA CATARINA"
"197","BANDEIRA DO BRASIL"
"198","BANDEIRA OFICIAL DA DEFESA CIVIL DE SANTA CATARINA"
"199","MEDALHA DE BRONZE"
"200","MEDALHA DE OURO"
"201","MEDALHA DE PRATA"
"202","MEDALHAS MEDALHA"
"203","CONDICIONAMENTO E REFRIGERAÇÃO"
"204","BEBEDOURO ELETRICO DE COLUNA C/GARRAFAO, 220V"
"205","BEBEDOURO ELETRICO PROJETADO PARA PESSOAS COM NECESSIDADES ESPECIAIS."
"206","CAIXA TERMICA CAPACIDADE 145L"
"207","CONDICIONADOR DE AR TIPO PISO/TETO, CAPAC.DE 48.000 BTU'S"
"208","CONDICIONADOR DE AR TIPO SPLIT, COM 24.000 BTU`S"
"209","CONDICIONADOR DE AR CAPACIDADE DE 24.000 BTUS,QUENTE/FRIO"
"210","CONDICIONADOR DE AR CICLO QUENTE/FRIO,18.000 BTUS,220 VOLTS,MONOFASICO *"
"211","CONDICIONADOR DE AR TIPO SPLIT 18000 BTU'S"
"212","CONDICIONADOR DE AR MODELO SPLIT, CAPACIDADE 12.000 BTU"
"213","CONDICIONADOR DE AR QUENTE E FRIO, 12.000 BTU"
"214","CONDICIONADOR DE AR FRIO-SPLIT CAPACIDADE E 9.000 BTU/H,C/CONTROLE"
"215","CONDICIONADOR DE AR MODELO SPLIT, CAPACIDADE 30.000 BTU"
"216","FREEZER TIPO HORIZONTAL"
"217","PUXADOR ALCA DE ALUMINIO, TAMANHO MEDIO"
"218","PUXADOR DE ALCA EM PLASTICO"
"219","PUXADOR DE BOLA EM PLASTICO"
"220","REFRIGERADOR 280 LITROS PARA USO DOMESTICO, 220V"
"221","REFRIGERADOR 4 PORTAS"
"222","REFRIGERADOR CAPACIDADE DE 310 LITROS"
"223","REFRIGERADOR DOMESTICO CAPACIDADE DE 240 LITROS"
"224","REFRIGERADOR ELETRICO, 1500L, 6 PORTAS"
"225","REFRIGERADOR TIPO FRIGOBAR"
"226","REFRIGERADOR VERTICAL CAPACIDADE DE 262 LITROS, BRANCO 220 VOLTS"
"227","VALVULA REDUTORA PARA CILINDRO DE OXIGENIO C/FLUXOMETRO,SAIDA UNICA E FRON"
"228","VALVULA REDUTORA VÁLVULA REGULADORA PARA CILINDRO DE OXIGÊNIO,SEM FLUXÔMET"
"229","VENTILADOR DE PAREDE, 60CM DE DIAMETRO"
"230","VENTILADOR DE PRESSAO"
"231",""
"232","AGUA SANITARIA COM NO MINIMO 2GR% IONS CLORO ATIVO EMBALAGEM DE 1 LITRO *"
"233","BALDE DE FERRO PARA CONCRETO COM ALCA, CAPAC. 5 LITROS"
